Time,IP,IP_t1,GAS_PRICE,GAS_PRICE_t1,Diff_IP,Diff_GP,Growth_IP,Growth_GP,logGrowth_IP,logGrowth_GP,NGPI
2004-01-01,91.7,92.1,11.36,11.00952381,-0.435256399884111,3.13377141749535,-0.434310532030392,3.18339099899726,-0.0962344538251294,1.30641268995592,0
2004-02-01,92.6,91.7,10.7975,11.36,0.976676238971379,-5.07837874402861,0.981461286804789,-4.95158450704225,0.216149474760554,-2.08978316114653,0
2004-03-01,92.3,92.6,10.90043478,10.7975,-0.324500014332671,0.948805066026523,-0.323974082073431,0.953320490854364,-0.0716606215243309,0.398772426192472,0
2004-04-01,93.3,92.3,10.97454545,10.90043478,1.07759663444915,0.677586473405711,1.08342361863489,0.679887284275842,0.238140579572301,0.283651085988738,0
2004-05-01,93.2,93.3,11.22190476,10.97454545,-0.107238616175209,2.22891091449941,-0.107181136120037,2.25393672227216,-0.0236426078692003,0.930426982927943,0
2004-06-01,93.4,93.2,10.60772727,11.22190476,0.21436235432509,-5.62849271206613,0.214592274678115,-5.47302354756395,0.047271065003177,-2.32787460932923,0
2004-07-01,94,93.4,10.65681818,10.60772727,0.640343703520671,0.461716873529355,0.642398286937895,0.462784428280275,0.141141511840093,0.195511624039053,0
2004-08-01,91.7,94,12.03090909,10.65681818,-2.47724030075841,12.1279203703312,-2.44680851063829,12.8940072617435,-0.545251941482143,5.12548428866932,0
2004-09-01,93.5,91.7,12.785,12.03090909,1.94390570322219,6.079351303317,1.96292257360959,6.26794620721384,0.430208271656164,2.44398086150823,0
2004-10-01,94,93.5,12.0652381,12.785,0.533334597536225,-5.7944175090887,0.53475935828877,-5.6297371920219,0.117527353421431,-2.27386092414446,0
2004-11-01,92.9,94,12.95954545,12.0652381,-1.17711364502105,7.1504183354314,-1.17021276595744,7.41226441275121,-0.259088107074778,2.87127522571179,0
2004-12-01,92.5,92.9,14.5373913,12.95954545,-0.43150013014133,11.489142359615,-0.430570505920351,12.1751635201063,-0.0952218644030198,4.48473576429036,0
2005-01-01,94.1,92.5,14.12333333,14.5373913,1.7149402072954,-2.88957648683845,1.72972972972972,-2.84822745329831,0.378807415773045,-1.07951975736273,0
2005-02-01,93.2,94.1,16.8315,14.12333333,-0.961032489978777,17.5423855056551,-0.95642933049946,19.175123936553,-0.21147816261961,6.62519758793269,0
2005-03-01,93.4,93.2,18.58521739,16.8315,0.21436235432509,9.91143699574394,0.214592274678115,10.4192578795711,0.047271065003177,3.5106453609467,0
2005-04-01,94.9,93.4,14.80857143,18.58521739,1.5932360381085,-22.7160336945616,1.60599571734475,-20.3206983310944,0.35117350557269,-7.77316386864712,0
2005-05-01,93.6,94.9,14.28909091,14.80857143,-1.37933221323357,-3.57097910994366,-1.36986301369864,-3.5079718692352,-0.302961920430209,-1.32493727489303,0
2005-06-01,94.5,93.6,14.35636364,14.28909091,0.956945101615077,0.469693043681389,0.961538461538468,0.470797830482829,0.210825885875797,0.176609770369404,0
2005-07-01,95.1,94.5,15.54095238,14.35636364,0.632913505164709,7.92853256358012,0.634920634920629,8.25131467622814,0.139144688078353,2.97595994788941,0
2005-08-01,94.4,95.1,15.10782609,15.54095238,-0.738789639988909,-2.82657351118746,-0.736067297581481,-2.78699966005559,-0.162195644526522,-1.03028814642112,0
2005-09-01,95.8,94.4,14.74636364,15.10782609,1.47216118253601,-2.42163741537735,1.48305084745762,-2.39255103842673,0.323726857845794,-0.891877547071268,0
