Time,BRENT_PRICE,BRENT_PRICE_t1,logBP,logBP_t1,Diff_BP,OilNewsShock,OilSurprise
2004-01-01,31.2363636363636,31.2363636363636,344.158291731173,344.158291731173,0,0.441540171950446,0
2004-02-01,30.8585,31.2363636363636,342.941223914318,344.158291731173,-1.21706781685532,-0.08581088034809,2.6940769116287
2004-03-01,33.634347826087,30.8585,351.554780154934,342.941223914318,8.61355624061673,0.281320349490462,-0.667869132781252
2004-04-01,33.5909090909091,33.634347826087,351.425546758989,351.554780154934,-0.129233395945789,-0.603386359178344,0
2004-05-01,37.567619047619,33.5909090909091,362.614248381188,351.425546758989,11.1887016221994,0.596978033449949,0
2004-06-01,35.1836363636364,37.567619047619,356.058109848263,362.614248381188,-6.55613853292493,-0.0108376887124877,-0.869702188359918
2004-07-01,38.2213636363636,35.1836363636364,364.339461678277,356.058109848263,8.28135183001376,-0.182256703832123,0
2004-08-01,42.7440909090909,38.2213636363636,375.523096148015,364.339461678277,11.1836344697385,0.413071287816775,0
2004-09-01,43.1968181818182,42.7440909090909,376.576683933888,375.523096148015,1.05358778587288,0.0202282907700408,-1.60713562826612
2004-10-01,49.7766666666667,43.1968181818182,390.754633340107,376.576683933888,14.1779494062186,0.837924280598588,0
2004-11-01,43.1104545454545,49.7766666666667,376.376553255534,390.754633340107,-14.3780800845731,-0.228621716817247,0
2004-12-01,39.6021739130435,43.1104545454545,367.888401354769,376.376553255534,-8.48815190076482,-0.871303301225637,-3.15962020222971
2005-01-01,44.3123809523809,39.6021739130435,379.126411774162,367.888401354769,11.2380104193933,0.266141510698476,2.15995426510433
2005-02-01,45.475,44.3123809523809,381.716272440419,379.126411774162,2.58986066625641,0.335535852328917,0
2005-03-01,53.0717391304348,45.475,397.164456680286,381.716272440419,15.4481842398673,0.575193020857062,3.04215932639897
2005-04-01,51.8838095238095,53.0717391304348,394.900678627844,397.164456680286,-2.26377805244186,-0.566668454047442,0
2005-05-01,48.6454545454545,51.8838095238095,388.455837251889,394.900678627844,-6.44484137595515,-0.108462142343965,0
2005-06-01,54.3545454545455,48.6454545454545,399.552824308849,388.455837251889,11.09698705696,0.503989891285571,0.337458567105034
2005-07-01,57.52,54.3545454545455,405.213271341279,399.552824308849,5.66044703243034,0.563468443674944,0
2005-08-01,63.9834782608696,57.52,415.862489785875,405.213271341279,10.6492184445959,0.718752317958703,0
2005-09-01,62.9081818181818,63.9834782608696,414.167623184783,415.862489785875,-1.6948666010918,1.11484742807578,-1.6643240899908
2005-10-01,58.5385714285714,62.9081818181818,406.96858776276,414.167623184783,-7.19903542202354,-1.05330798972544,0
2005-11-01,55.2418181818182,58.5385714285714,401.172024222496,406.96858776276,-5.79656354026383,-1.23413972702085,0
2005-12-01,56.8413636363636,55.2418181818182,404.026429372866,401.172024222496,2.8544051503705,-0.0392465327271515,2.95260283479996
2006-01-01,62.7740909090909,56.8413636363636,413.954242320387,404.026429372866,9.92781294752115,0.193486565211207,-0.151803399531474
2006-02-01,60.21,62.7740909090909,409.783845147636,413.954242320387,-4.1703971727519,-0.65189743437408,0
2006-03-01,62.0647826086957,60.21,412.817872032254,409.783845147636,3.0340268846183,-0.0786375114387593,-1.8274564161669
2006-04-01,70.173,62.0647826086957,425.096362166368,412.817872032254,12.2784901341143,0.623723751490236,0
2006-05-01,69.7769565217391,70.173,424.530381946981,425.096362166368,-0.565980219387541,-0.354072608611588,0
2006-06-01,68.5559090909091,69.7769565217391,422.764960347351,424.530381946981,-1.76542159962986,-0.315456691697781,-1.18333227631835
2006-07-01,73.6742857142857,68.5559090909091,429.965383348732,422.764960347351,7.20042300138158,0.283105735748199,0
2006-08-01,73.2304347826087,73.6742857142857,429.361111027519,429.965383348732,-0.604272321213273,-0.178267425849043,0
2006-09-01,61.9585714285714,73.2304347826087,412.646595893315,429.361111027519,-16.7145151342043,-1.07735993557733,-1.12658793874302
2006-10-01,57.8081818181818,61.9585714285714,405.71303196083,412.646595893315,-6.93356393248479,-0.713482353040865,-1.01478674194791
2006-11-01,58.7613636363636,57.8081818181818,407.348455791801,405.71303196083,1.63542383097149,-0.633604068316715,0
2006-12-01,62.4195238095238,58.7613636363636,413.387810800103,407.348455791801,6.03935500830198,0.0627986425215712,1.75949948470404
2007-01-01,53.7486956521739,62.4195238095238,398.431939977703,413.387810800103,-14.9558708224009,-0.881545648648937,0
2007-02-01,57.517,53.7486956521739,405.208055628073,398.431939977703,6.77611565037006,0.501214922061367,0
2007-03-01,62.0504545454545,57.517,412.794783709445,405.208055628073,7.58672808137203,0.00140742535336409,-0.689195928658093
2007-04-01,67.6442857142857,62.0504545454545,421.426288267199,412.794783709445,8.63150455775445,0.231605679111816,0
2007-05-01,67.3647826086957,67.6442857142857,421.012236813656,421.426288267199,-0.41405145354355,-0.297625784350442,0
2007-06-01,71.0457142857143,67.3647826086957,426.332353302942,421.012236813656,5.3201164892867,0.165359367031418,0
2007-07-01,76.8086363636364,71.0457142857143,434.131708648282,426.332353302942,7.79935534533934,0.188807825962978,0
2007-08-01,70.7608695652174,76.8086363636364,425.930615815357,434.131708648282,-8.20109283292419,-0.568100501813915,0
2007-09-01,76.929,70.7608695652174,434.288291855625,425.930615815357,8.35767604026785,1.00017933645518,1.18593765650602
2007-10-01,82.34,76.929,441.085701634176,434.288291855625,6.79740977855056,0.10198579635874,0
2007-11-01,92.5304545454545,82.34,452.753782866057,441.085701634176,11.6680812318814,0.612881087852609,0
2007-12-01,90.99,92.5304545454545,451.07496103686,452.753782866057,-1.67882182919732,-0.289257662720373,-0.831933850195447
2008-01-01,92.1339130434783,90.99,452.324309528388,451.07496103686,1.24934849152839,-0.137618598936397,0
2008-02-01,95.0804761904762,92.1339130434783,455.472365079325,452.324309528388,3.14805555093687,0.260894340630944,-2.5021794526825
2008-03-01,103.451904761905,95.0804761904762,463.910681641359,455.472365079325,8.43831656203332,1.00415227541514,4.24863503033799
2008-04-01,109.071363636364,103.451904761905,469.200238025879,463.910681641359,5.28955638452044,0.0610542182046937,0
2008-05-01,123.111818181818,109.071363636364,481.309303330864,469.200238025879,12.1090653049845,1.37611176230942,0
2008-06-01,132.322380952381,123.111818181818,488.524122500996,481.309303330864,7.21481917013278,1.11469001437386,0
2008-07-01,133.20652173913,132.322380952381,489.190071891317,488.524122500996,0.665949390320918,0.571855921387449,0
2008-08-01,113.243333333333,133.20652173913,472.953889581659,489.190071891317,-16.2361823096582,-0.469516068609256,0
2008-09-01,97.9736363636364,113.243333333333,458.46984257815,472.953889581659,-14.4840470035089,0.262429637742731,-0.755068337032091
2008-10-01,71.5821739130435,97.9736363636364,427.084607527407,458.46984257815,-31.3852350507427,-2.88718908300344,-5.27602072157324
2008-11-01,52.2995,71.5821739130435,395.698681079573,427.084607527407,-31.3859264478342,-1.06165366899443,0
2008-12-01,39.7078260869565,52.2995,368.154829891927,395.698681079573,-27.5438511876465,-0.269438311981325,-2.15828329092158
2009-01-01,43.0922727272727,39.7078260869565,376.334369396562,368.154829891927,8.17953950463482,1.96062842146171,0
2009-02-01,43.3265,43.0922727272727,376.876445704504,376.334369396562,0.542076307942523,0.0751641100278457,0
2009-03-01,46.5404545454545,43.3265,384.032192459599,376.876445704504,7.15574675509538,1.14753993489427,1.91985994858848
2009-04-01,50.2795454545455,46.5404545454545,391.759834339768,384.032192459599,7.72764188016856,-0.689770676021083,0
2009-05-01,57.3690476190476,50.2795454545455,404.950491779702,391.759834339768,13.1906574399339,0.937185541309927,2.94375933212082
2009-06-01,68.6095454545455,57.3690476190476,422.843167161957,404.950491779702,17.8926753822552,1.06978916248484,0
2009-07-01,64.4921739130435,68.6095454545455,416.654388175858,422.843167161957,-6.18877898609895,-0.858449744365594,0
2009-08-01,72.5085714285714,64.4921739130435,428.37047814734,416.654388175858,11.7160899714818,1.16881476985397,0
2009-09-01,67.5640909090909,72.5085714285714,421.307664234278,428.37047814734,-7.0628139130618,0.120401826755017,0.75551705743074
2009-10-01,72.7695454545455,67.5640909090909,428.729753600921,421.307664234278,7.4220893666423,0.838951418794139,0
2009-11-01,76.6576190476191,72.7695454545455,433.934900086871,428.729753600921,5.20514648595059,-0.148851238849194,0
2009-12-01,74.4865217391304,76.6576190476191,431.061819276491,433.934900086871,-2.87308081038003,-0.845001063589088,1.28171408836738
2010-01-01,76.2828571428571,74.4865217391304,433.444823601997,431.061819276491,2.38300432550614,-0.481385242713465,0
2010-02-01,73.639,76.2828571428571,429.917477669636,433.444823601997,-3.52734593236158,-0.214140637820994,0
2010-03-01,78.8273913043478,73.639,436.72605418482,429.917477669636,6.8085765151846,-0.523359642699928,1.55440965314856
2010-04-01,84.7181818181818,78.8273913043478,443.933023999324,436.72605418482,7.20696981450368,-0.18357082280701,0
2010-05-01,75.8052380952381,84.7181818181818,432.816739441956,443.933023999324,-11.1162845573683,-1.32327126313631,0
2010-06-01,74.7609090909091,75.8052380952381,431.429514263795,432.816739441956,-1.38722517816086,0.525869862586917,0
2010-07-01,75.4059090909091,74.7609090909091,432.288564184911,431.429514263795,0.859049921115741,0.0475448519567974,0
2010-08-01,77.0395454545454,75.4059090909091,434.431886734974,432.288564184911,2.1433225500636,-0.0716140393711956,0
2010-09-01,77.7127272727273,77.0395454545454,435.301904412362,434.431886734974,0.870017677387807,-0.14871269066273,0
2010-10-01,82.6647619047619,77.7127272727273,441.479341575676,435.301904412362,6.17743716331393,0.710342805796408,-0.458413403807994
2010-11-01,85.2409090909091,82.6647619047619,444.548147224756,441.479341575676,3.0688056490801,0.0996157027030945,0
2010-12-01,91.5417391304348,85.2409090909091,451.679503362963,444.548147224756,7.13135613820708,-0.116938554043161,1.08946936357169
2011-01-01,96.5871428571429,91.5417391304348,457.044563564337,451.679503362963,5.36506020137392,-0.133166269238273,0
2011-02-01,103.6405,96.5871428571429,464.09281800744,457.044563564337,7.04825444310285,0.106271460052781,0
2011-03-01,114.64347826087,103.6405,474.1827123786,464.09281800744,10.0898943711604,1.07357740486838,0
2011-04-01,123.45380952381,114.64347826087,481.586707415516,474.1827123786,7.40399503691549,0.91910651851285,0
2011-05-01,114.982727272727,123.45380952381,474.4781919454,481.586707415516,-7.108515470116,-0.754449697870264,0
2011-06-01,113.833181818182,114.982727272727,473.473405931563,474.4781919454,-1.00478601383691,-0.505304466565159,1.53672889004774
2011-07-01,116.632857142857,113.833181818182,475.903102789803,473.473405931563,2.42969685824022,-0.186528465655409,0
2011-08-01,110.309565217391,116.632857142857,470.329064251211,475.903102789803,-5.57403853859233,-1.02281251618639,0
2011-09-01,112.974090909091,110.309565217391,472.71585084324,470.329064251211,2.38678659202947,0.439596342907273,0
2011-10-01,109.55,112.974090909091,469.638106604148,472.71585084324,-3.07774423909262,-0.152780131836688,0
2011-11-01,110.589090909091,109.55,470.582144868176,469.638106604148,0.944038264027995,0.893953927028324,0
2011-12-01,107.998636363636,110.589090909091,468.211860078188,470.582144868176,-2.37028478998747,-0.356458994127559,-4.9165683313246
2012-01-01,110.531363636364,107.998636363636,470.529931449786,468.211860078188,2.31807137159751,0.2063254035818,0
2012-02-01,119.391904761905,110.531363636364,478.241139934599,470.529931449786,7.71120848481377,-0.0290547990096918,0
2012-03-01,125.445454545455,119.391904761905,483.187103895914,478.241139934599,4.94596396131448,0.784751689386223,0
2012-04-01,120.056666666667,125.445454545455,478.796385354244,483.187103895914,-4.39071854166957,0.240638744349888,0
2012-05-01,110.289130434783,120.056666666667,470.310537593465,478.796385354244,-8.48584776077894,-0.385633647863606,0
2012-06-01,95.1557142857143,110.289130434783,455.551464749028,470.310537593465,-14.7590728444372,-0.368125621562616,1.49084183503183
2012-07-01,102.494545454545,95.1557142857143,462.980958208489,455.551464749028,7.42949345946039,0.67035763109549,0
2012-08-01,113.356086956522,102.494545454545,473.053407605447,462.980958208489,10.0724493969589,0.889111873743037,0
2012-09-01,112.917,113.356086956522,472.665303555096,473.053407605447,-0.388104050351046,0.366716761812549,0
2012-10-01,111.710869565217,112.917,471.591401168295,472.665303555096,-1.07390238680102,-0.251565275098036,0
2012-11-01,109.138181818182,111.710869565217,469.261480244928,471.591401168295,-2.32992092336735,-0.0777385088040456,0
2012-12-01,109.44380952381,109.138181818182,469.541126251375,469.261480244928,0.279646006446853,-0.28562219812973,0.994411003174346
2013-01-01,112.811739130435,109.44380952381,472.572040395429,469.541126251375,3.03091414405446,0.312505650332617,0
2013-02-01,116.118,112.811739130435,475.460691544627,472.572040395429,2.88865114919764,0.164307153739948,0
2013-03-01,108.473333333333,116.118,468.650436704306,475.460691544627,-6.81025484032068,-0.383542027094866,0
2013-04-01,102.248181818182,108.473333333333,462.740301303554,468.650436704306,-5.91013540075221,-0.259218853923473,0
2013-05-01,102.501304347826,102.248181818182,462.987552384214,462.740301303554,0.247251080660078,0.162485272583024,-1.3607161850187
2013-06-01,102.9195,102.501304347826,463.39471292595,462.987552384214,0.407160541735493,0.1894274611148,0
2013-07-01,107.854347826087,102.9195,468.078168566271,463.39471292595,4.68345564032165,0.618298038165138,0
2013-08-01,111.280454545455,107.854347826087,471.205363230719,468.078168566271,3.12719466444787,-0.070522232944103,0
2013-09-01,111.804761904762,111.280454545455,471.675415287979,471.205363230719,0.470052057259693,0.0636222489382084,0
2013-10-01,109.07652173913,111.804761904762,469.204967022228,471.675415287979,-2.47044826575058,0.137256525081005,0
2013-11-01,107.96,109.07652173913,468.17607881498,469.204967022228,-1.02888820724792,-0.111442010849919,0
